"plot_id","inv_date","pBA_ABCO","pBA_CADE","pBA_OTHER","pBA_PILA","pBA_PIPO","pBA_PSME","pBA_(all)","azimuth","count_1h","count_10h","count_100h","duff_depth","litter_depth","sum_d2_r","sum_d2_s","litter_coeff","duff_coeff","x1h_coeff","x10h_coeff","x100h_coeff","x1000s_coeff","x1000r_coeff","x1h_L","x10h_L","x100h_L","x1000h_L","slp_c","fuelload_litter_tonha","fuelload_duff_tonha","fuelload_1h_tonha","fuelload_10h_tonha","fuelload_100h_tonha","fuelload_1000s_tonha","fuelload_1000r_tonha","fuelload_1000h_tonha","fuelload_surface_tonha","fuelload_total_tonha"
"0040-00002",2001-06-01,0.386935577584255,0.303974125035865,0,0,0,0.30909029737988,1,129,32,6,0,3.5,3,196,0,1.06120735694545,1.50421496845203,0.0449802411792747,0.749368192490558,8.49070826908731,0.368923934072996,0.372409709462348,1.83,1.83,3.05,11.34,1,31.8362207083634,52.6475238958212,0.970590034801748,3.03186999847,0,0,7.94290140823645,7.94290140823645,43.7815821498716,96.4291060456928
"0040-00002",2001-06-01,0.386935577584255,0.303974125035865,0,0,0,0.30909029737988,1,190,35,5,1,2,2,361,0,1.06120735694545,1.50421496845203,0.0449802411792747,0.749368192490558,8.49070826908731,0.368923934072996,0.372409709462348,1.83,1.83,3.05,11.34,1,21.224147138909,30.0842993690407,1.06158285056441,2.52655833205833,3.43525705050942,0,14.6295275937416,14.6295275937416,42.8770729657828,72.9613723348235
"0040-00002",2003-06-01,0.391481304303179,0.2977289226829,0,0,0,0.310789773013921,1,190,29,11,0,0.5,2,306,0,1.05947983874575,1.50289627603145,0.0449063696206117,0.749897669154695,8.45944664738458,0.368302186972137,0.372315650156843,1.83,1.83,3.05,11.34,1,21.1895967749149,7.51448138015722,0.87815264658099,5.56235571645127,0,0,12.3975201730004,12.3975201730004,40.0276253109476,47.5421066911048
"0040-00002",2003-06-01,0.391481304303179,0.2977289226829,0,0,0,0.310789773013921,1,129,74,12,1,2,2,121,0,1.05947983874575,1.50289627603145,0.0449063696206117,0.749897669154695,8.45944664738458,0.368302186972137,0.372315650156843,1.83,1.83,3.05,11.34,1,21.1895967749149,30.0579255206289,2.24080330506873,6.06802441794684,3.42260890585986,0,4.90228738867009,4.90228738867009,37.8233207924604,67.8812463130893
"0040-00002",2009-06-01,0.262936067727339,0.30974391410824,0,0,0,0.42732001816442,1,190,33,12,1,4,1,0,0,1.04052060120988,1.48159311090027,0.0442877966448155,0.763545171708454,8.59919215247185,0.374513682171548,0.373790446650124,2,2,3,11.3,1,10.4052060120988,59.263724436011,0.901743827485087,5.65328845132939,3.53713437205009,0,0,0,20.4973726629634,79.7610970989743
"0040-00002",2009-06-01,0.262936067727339,0.30974391410824,0,0,0,0.42732001816442,1,129,74,11,0,3.5,0,0,0,1.04052060120988,1.48159311090027,0.0442877966448155,0.763545171708454,8.59919215247185,0.374513682171548,0.373790446650124,2,2,3,11.3,1,0,51.8557588815096,2.02209221920898,5.18218108038528,0,0,0,0,7.20427329959426,59.0600321811038
"0040-00003",2001-06-01,0.239169558361792,0.174962919341657,0,0.192971116987757,0.235824731629595,0.157071673679199,1,296,4,0,0,1,3.5,121,0,0.73384149291271,1.46331377013294,0.0710226647796807,0.80977277815709,8.55368133379219,0.390948177335463,0.369835098666197,1.83,1.83,3.05,11.34,1,25.6844522519448,14.6331377013294,0.191567143908472,0,0,0,4.86962591906918,4.86962591906918,30.7456453149225,45.3787830162519
"0040-00003",2001-06-01,0.239169558361792,0.174962919341657,0,0.192971116987757,0.235824731629595,0.157071673679199,1,228,5,0,1,1.5,2.5,565,0,0.73384149291271,1.46331377013294,0.0710226647796807,0.80977277815709,8.55368133379219,0.390948177335463,0.369835098666197,1.83,1.83,3.05,11.34,1,18.3460373228177,21.9497065519941,0.23945892988559,0,3.46073533308183,0,22.7383359030916,22.7383359030916,44.7845674888768,66.7342740408709
"0040-00003",2003-06-01,0.242046959028607,0.173556347694137,0,0.191962258277021,0.235985714493131,0.156448720507104,1,228,11,0,1,5.5,2,1407,0,0.734267484872213,1.46332131281607,0.0709892557774298,0.809623878598733,8.54646170349674,0.390656624991027,0.369795788699566,1.83,1.83,3.05,11.34,1,14.6853496974443,80.4826722048836,0.526561834930509,0,3.45781434167704,0,56.618474477968,56.618474477968,75.2882003520198,155.770872556903
"0040-00003",2003-06-01,0.242046959028607,0.173556347694137,0,0.191962258277021,0.235985714493131,0.156448720507104,1,296,17,0,1,2,1.5,100,0,0.734267484872213,1.46332131281607,0.0709892557774298,0.809623878598733,8.54646170349674,0.390656624991027,0.369795788699566,1.83,1.83,3.05,11.34,1,11.0140122730832,29.2664262563213,0.813777381256242,0,3.45781434167704,0,4.0240564660958,4.0240564660958,19.3096604621123,48.5760867184336
"0040-00003",2009-06-01,0.278294884885439,0.16440080750173,0,0.197976985076367,0.228605065318819,0.130722257217646,1,228,42,4,1,5.5,2.5,929,0,0.738209091229174,1.46712581783516,0.0704796731731676,0.806495507256328,8.4660880554825,0.38867033894395,0.369396449205532,2,2,3,11.3,1,18.4552272807293,80.6919199809338,1.82641025060946,1.99043091190862,3.48238422015513,0,37.4753024618524,37.4753024618524,63.229755125255,143.921675106189
"0040-00003",2009-06-01,0.278294884885439,0.16440080750173,0,0.197976985076367,0.228605065318819,0.130722257217646,1,296,1,0,0,3.5,1,0,0,0.738209091229174,1.46712581783516,0.0704796731731676,0.806495507256328,8.4660880554825,0.38867033894395,0.369396449205532,2,2,3,11.3,1,7.38209091229174,51.3494036242306,0.0434859583478444,0,0,0,0,0,7.42557687063958,58.7749804948702
"0040-00005",2001-06-01,0.302309110329249,0.404231433364793,0,0,0.181078228193599,0.112381228112359,1,93,7,2,1,9.5,3.5,529,0,0.980298846889699,1.53809539617346,0.0631296851723372,0.75099694054447,9.41185958404916,0.38680657964197,0.37208988306418,1.83,1.83,3.05,11.34,1,34.3104596411395,146.119062636478,0.297985912851721,1.01281991763047,3.80794581203825,0,21.4193180252146,21.4193180252146,60.8485293088745,206.967591945353
"0040-00005",2001-06-01,0.302309110329249,0.404231433364793,0,0,0.181078228193599,0.112381228112359,1,272,5,3,1,7,3,202,0,0.980298846889699,1.53809539617346,0.0631296851723372,0.75099694054447,9.41185958404916,0.38680657964197,0.37208988306418,1.83,1.83,3.05,11.34,1,29.408965406691,107.666677732142,0.212847080608372,1.5192298764457,3.80794581203825,0,8.17902124970388,8.17902124970388,43.1280094254872,150.794687157629
"0040-00005",2003-06-01,0.304755000607415,0.400400365505184,0,0,0.180184548426796,0.114660085460605,1,93,4,6,2,5.5,6.5,625,0,0.979700866226159,1.53714409276015,0.0629964920189706,0.751320936000512,9.39202856046485,0.38640091180054,0.372045535502068,1.83,1.83,3.05,11.34,1,63.6805563047003,84.542925101808,0.169918406888327,3.03977060663814,7.59984474991057,0,25.3033614864171,25.3033614864171,99.7934515545545,184.336376656362
"0040-00005",2003-06-01,0.304755000607415,0.400400365505184,0,0,0.180184548426796,0.114660085460605,1,272,4,14,6,4.5,3.5,461,0,0.979700866226159,1.53714409276015,0.0629964920189706,0.751320936000512,9.39202856046485,0.38640091180054,0.372045535502068,1.83,1.83,3.05,11.34,1,34.2895303179156,69.1714841742065,0.169918406888327,7.09279808215565,22.7995342497317,0,18.6637594323812,18.6637594323812,83.0155404890725,152.187024663279
"0040-00005",2009-06-01,0.328739396426297,0.34582581762127,0,0,0.19236425379179,0.133070532160643,1,272,4,1,2,5.5,5.5,0,0,0.954515583365682,1.52349936402672,0.0633559932092044,0.758447085011988,9.17019687617324,0.382096256647321,0.371262026464518,2,2,3,11.3,1,52.4983570851125,83.7924650214698,0.156362591240316,0.467961851452396,7.54401529679852,0,0,0,60.6666968246037,144.459161846073
"0040-00005",2009-06-01,0.328739396426297,0.34582581762127,0,0,0.19236425379179,0.133070532160643,1,93,8,8,0,5,5.5,225,0,0.954515583365682,1.52349936402672,0.0633559932092044,0.758447085011988,9.17019687617324,0.382096256647321,0.371262026464518,2,2,3,11.3,1,52.4983570851125,76.1749682013362,0.312725182480633,3.74369481161917,0,0,9.12220368565251,9.12220368565251,65.6769807648648,141.851948966201
"0040-00007",2001-06-01,0.513402490084142,0.0906896621440308,0.0364717926473778,0.0540588849392918,0,0.305377170185157,1,224,47,4,0,4.5,3.5,0,0,0.948311660276652,1.47333449202136,0.0453690997386739,0.769383078538239,7.45454304076177,0.35750856111089,0.369051009781686,1.83,1.83,3.05,11.34,1,33.1909081096828,66.3000521409614,1.43787816756481,2.0752321724944,0,0,0,0,36.704018449742,103.004070590703
"0040-00007",2001-06-01,0.513402490084142,0.0906896621440308,0.0364717926473778,0.0540588849392918,0,0.305377170185157,1,336,32,5,1,4,3.5,421,0,0.948311660276652,1.47333449202136,0.0453690997386739,0.769383078538239,7.45454304076177,0.35750856111089,0.369051009781686,1.83,1.83,3.05,11.34,1,33.1909081096828,58.9333796808546,0.978980880044128,2.594040215618,3.01603479091804,0,16.9071575216687,16.9071575216687,56.6871215179316,115.620501198786
"0040-00007",2003-06-01,0.514344821917058,0.0858725584666463,0.0411684652305556,0.0537281192486676,0,0.304886035137073,1,167,27,1,0,3,1,0,0,0.944334483105069,1.47380592407214,0.0454411576845332,0.769601483471003,7.434643931206,0.35765882212952,0.3689735241653,1.83,1.83,3.05,11.34,1,9.44334483105069,44.2141777221641,0.827327044662994,0.518955317269518,0,0,0,0,10.7896271929832,55.0038049151473
"0040-00007",2003-06-01,0.514344821917058,0.0858725584666463,0.0411684652305556,0.0537281192486676,0,0.304886035137073,1,332,29,4,2,5,2,169,196,0.944334483105069,1.47380592407214,0.0454411576845332,0.769601483471003,7.434643931206,0.35765882212952,0.3689735241653,1.83,1.83,3.05,11.34,1,18.8866896621014,73.6902962036069,0.888610529452845,2.07582126907807,6.01596761384144,7.62828865569085,6.78553373638243,14.4138223920733,42.280911466547,115.971207670154
"0040-00007",2009-06-01,0.513693923342316,0.0469886263896711,0.0421857698006561,0.0560273645520398,0.0371886525129514,0.303915663402366,1,167,16,8,1,7,1.5,0,0,0.904529061317329,1.46353587375301,0.0484059880507665,0.778354354367723,7.3603706312149,0.356838345693913,0.368283350235817,2,2,3,11.3,1,13.5679359197599,102.447511162711,0.477863914037167,3.84195709315908,3.02756578630639,0,0,0,20.9153227132626,123.362833875973
"0040-00007",2009-06-01,0.513693923342316,0.0469886263896711,0.0421857698006561,0.0560273645520398,0.0371886525129514,0.303915663402366,1,332,20,14,1,6,1,221,121,0.904529061317329,1.46353587375301,0.0484059880507665,0.778354354367723,7.3603706312149,0.356838345693913,0.368283350235817,2,2,3,11.3,1,9.04529061317329,87.8121524251805,0.597329892546458,6.72342491302839,3.02756578630639,4.71512926981778,8.88814385630181,13.6032731261196,32.9968843311741,120.809036756355
"0060-00021",2001-06-01,0.203011193892606,0.275990959879356,0.263524012309604,0,0.213505825810117,0.043968008108318,1,143,51,15,0,5,3.5,0,225,0.757901401790859,1.58895184214936,0.0723437762574871,0.759407952010652,9.08296277115831,0.413945628905554,0.369991378209713,1.83,1.83,3.05,11.34,1,26.5265490626801,79.4475921074679,2.48791432513043,7.68122469492742,0,10.1350973426479,0,10.1350973426479,46.8307854253858,126.278377532854
