plot_id,inv_date,azimuth,count_1h,count_10h,count_100h,duff_depth_cm,litter_depth_cm,sum_d2_1000r_cm2,sum_d2_1000s_cm2
0040-00007,6/1/2001,224,47,4,0,4.5,3.5,0,0
0040-00007,6/1/2001,336,32,5,1,4,3.5,421,0
0040-00002,6/1/2001,129,32,6,0,3.5,3,196,0
0040-00002,6/1/2001,190,35,5,1,2,2,361,0
0040-00003,6/1/2001,228,5,0,1,1.5,2.5,565,0
0040-00003,6/1/2001,296,4,0,0,1,3.5,121,0
0040-00005,6/1/2001,93,7,2,1,9.5,3.5,529,0
0040-00005,6/1/2001,272,5,3,1,7,3,202,0
0060-00101,6/1/2001,86,27,4,0,7.5,3.5,144,0
0060-00101,6/1/2001,216,22,5,3,6,2.5,676,81
0060-00102,6/1/2001,71,14,4,4,8,4,121,0
0060-00102,6/1/2001,347,10,5,5,7.5,5,144,0
0060-00027,6/1/2001,34,34,12,3,1.5,0.5,81,0
0060-00027,6/1/2001,175,42,27,3,2.5,2.5,0,289
0060-00021,6/1/2001,143,51,15,0,5,3.5,0,225
0060-00021,6/1/2001,350,30,5,1,4,2,529,0
0040-00005,6/1/2003,93,4,6,2,5.5,6.5,625,0
0040-00005,6/1/2003,272,4,14,6,4.5,3.5,461,0
0040-00007,6/1/2003,167,27,1,0,3,1,0,0
0040-00007,6/1/2003,332,29,4,2,5,2,169,196
0040-00002,6/1/2003,129,74,12,1,2,2,121,0
0040-00002,6/1/2003,190,29,11,0,0.5,2,306,0
0040-00003,6/1/2003,228,11,0,1,5.5,2,1407,0
0040-00003,6/1/2003,296,17,0,1,2,1.5,100,0
0060-00027,6/1/2003,34,11,17,2,0,1,0,625
0060-00027,6/1/2003,175,1,0,1,0,0,0,0
0060-00021,6/1/2003,143,11,1,0,1,0.25,0,0
0060-00021,6/1/2003,350,19,2,2,1,0,0,0
0060-00101,6/1/2003,86,11,0,1,0,0,0,0
0060-00101,6/1/2003,216,9,0,1,1.5,0,0,0
0060-00102,6/1/2003,71,15,10,9,1.5,0.5,0,1646
0060-00102,6/1/2003,347,21,8,5,0.75,0.5,0,1771
0040-00002,6/1/2009,129,74,11,0,3.5,0,0,0
0040-00002,6/1/2009,190,33,12,1,4,1,0,0
0040-00003,6/1/2009,228,42,4,1,5.5,2.5,929,0
0040-00003,6/1/2009,296,1,0,0,3.5,1,0,0
0040-00005,6/1/2009,93,8,8,0,5,5.5,225,0
0040-00005,6/1/2009,272,4,1,2,5.5,5.5,0,0
0040-00007,6/1/2009,167,16,8,1,7,1.5,0,0
0040-00007,6/1/2009,332,20,14,1,6,1,221,121
0060-00021,6/1/2009,143,11,12,2,0,2.5,2452,785
0060-00021,6/1/2009,350,18,17,1,0.5,1.5,0,400
0060-00027,6/1/2009,34,13,9,0,0.5,0.5,0,0
0060-00027,6/1/2009,175,13,3,1,1,1,0,0
0060-00101,6/1/2009,71,21,2,0,0,1,0,0
0060-00101,6/1/2009,216,8,4,0,0,1.5,0,0
0060-00102,6/1/2009,71,10,6,0,0,0,392,1000
0060-00102,6/1/2009,347,13,9,5,0.5,0.5,3602,962
