plot_id,inv_date,species,dbh
0040-00002,6/1/2001,PSME,11.4
0040-00002,6/1/2001,ABCO,13.2
0040-00002,6/1/2001,ABCO,23.9
0040-00002,6/1/2001,CADE,28.7
0040-00002,6/1/2001,PSME,34.5
0040-00002,6/1/2001,PSME,35.1
0040-00002,6/1/2001,ABCO,36.3
0040-00002,6/1/2001,PSME,39.9
0040-00002,6/1/2001,ABCO,40.4
0040-00002,6/1/2001,ABCO,41.9
0040-00002,6/1/2001,ABCO,47.8
0040-00002,6/1/2001,ABCO,50
0040-00002,6/1/2001,CADE,58.4
0040-00002,6/1/2001,CADE,61.7
0040-00002,6/1/2001,PSME,63.5
0040-00003,6/1/2001,CADE,12.4
0040-00003,6/1/2001,ABCO,13.7
0040-00003,6/1/2001,PSME,14
0040-00003,6/1/2001,PSME,14.5
0040-00003,6/1/2001,PSME,14.5
0040-00003,6/1/2001,ABCO,16.5
0040-00003,6/1/2001,CADE,19.8
0040-00003,6/1/2001,PSME,21.1
0040-00003,6/1/2001,CADE,28.2
0040-00003,6/1/2001,ABCO,48.3
0040-00003,6/1/2001,PSME,59.2
0040-00003,6/1/2001,CADE,61.2
0040-00003,6/1/2001,ABCO,64.5
0040-00003,6/1/2001,PILA,74.9
0040-00003,6/1/2001,PIPO,82.8
0040-00005,6/1/2001,CADE,11.9
0040-00005,6/1/2001,CADE,12.7
0040-00005,6/1/2001,PSME,13
0040-00005,6/1/2001,PSME,15
0040-00005,6/1/2001,CADE,16.5
0040-00005,6/1/2001,CADE,16.5
0040-00005,6/1/2001,ABCO,17.8
0040-00005,6/1/2001,CADE,18
0040-00005,6/1/2001,PSME,18
0040-00005,6/1/2001,ABCO,18.5
0040-00005,6/1/2001,CADE,19.8
0040-00005,6/1/2001,ABCO,20.1
0040-00005,6/1/2001,ABCO,22.1
0040-00005,6/1/2001,ABCO,22.4
0040-00005,6/1/2001,CADE,24.1
0040-00005,6/1/2001,ABCO,33
0040-00005,6/1/2001,PSME,34.3
0040-00005,6/1/2001,CADE,36.6
0040-00005,6/1/2001,ABCO,39.6
0040-00005,6/1/2001,CADE,40.4
0040-00005,6/1/2001,ABCO,40.9
0040-00005,6/1/2001,CADE,41.4
0040-00005,6/1/2001,PSME,47.2
0040-00005,6/1/2001,CADE,48.5
0040-00005,6/1/2001,CADE,51.3
0040-00005,6/1/2001,CADE,54.9
0040-00005,6/1/2001,ABCO,68.6
0040-00005,6/1/2001,PIPO,81.5
0040-00007,6/1/2001,PSME,11.9
0040-00007,6/1/2001,ABCO,13
0040-00007,6/1/2001,QUKE,13
0040-00007,6/1/2001,ABCO,13
0040-00007,6/1/2001,QUKE,13.2
0040-00007,6/1/2001,ABCO,14
0040-00007,6/1/2001,QUKE,14.5
0040-00007,6/1/2001,QUKE,15.5
0040-00007,6/1/2001,ABCO,17.5
0040-00007,6/1/2001,ABCO,18.8
0040-00007,6/1/2001,ABCO,19.1
0040-00007,6/1/2001,PSME,19.6
0040-00007,6/1/2001,PSME,20.8
0040-00007,6/1/2001,CADE,21.6
0040-00007,6/1/2001,ABCO,21.6
0040-00007,6/1/2001,PSME,22.6
0040-00007,6/1/2001,PSME,25.4
0040-00007,6/1/2001,CADE,27.2
0040-00007,6/1/2001,CADE,27.7
0040-00007,6/1/2001,PSME,31.5
0040-00007,6/1/2001,PSME,33.3
0040-00007,6/1/2001,PILA,34.3
0040-00007,6/1/2001,ABCO,34.5
0040-00007,6/1/2001,ABCO,44.7
0040-00007,6/1/2001,PSME,49.3
0040-00007,6/1/2001,ABCO,77.2
0060-00021,6/1/2001,ABCO,11.9
0060-00021,6/1/2001,PIPO,13
0060-00021,6/1/2001,ABCO,13.5
0060-00021,6/1/2001,ABCO,13.7
0060-00021,6/1/2001,ABCO,15.2
0060-00021,6/1/2001,ABCO,18.3
0060-00021,6/1/2001,ABCO,20.3
0060-00021,6/1/2001,CADE,24.9
0060-00021,6/1/2001,PSME,32.8
0060-00021,6/1/2001,ABCO,39.6
0060-00021,6/1/2001,CADE,42.7
0060-00021,6/1/2001,ABCO,43.7
0060-00021,6/1/2001,CADE,45
0060-00021,6/1/2001,CADE,47.8
0060-00021,6/1/2001,PIPO,71.1
0060-00021,6/1/2001,QUKE,80.3
0060-00027,6/1/2001,CADE,17.3
0060-00027,6/1/2001,CADE,29.5
0060-00027,6/1/2001,CADE,42.2
0060-00027,6/1/2001,ABCO,42.9
0060-00027,6/1/2001,CADE,48.5
0060-00027,6/1/2001,CADE,51.8
0060-00027,6/1/2001,CADE,53.3
0060-00027,6/1/2001,CADE,54.9
0060-00101,6/1/2001,CADE,11.4
0060-00101,6/1/2001,CADE,15.5
0060-00101,6/1/2001,CADE,15.5
0060-00101,6/1/2001,ABCO,15.7
0060-00101,6/1/2001,PSME,16
0060-00101,6/1/2001,ABCO,16.5
0060-00101,6/1/2001,ABCO,17.3
0060-00101,6/1/2001,CADE,17.3
0060-00101,6/1/2001,ABCO,17.8
0060-00101,6/1/2001,CADE,18
0060-00101,6/1/2001,PSME,18.3
0060-00101,6/1/2001,CADE,21.1
0060-00101,6/1/2001,CADE,21.1
0060-00101,6/1/2001,ABCO,22.1
0060-00101,6/1/2001,CADE,23.1
0060-00101,6/1/2001,CADE,24.6
0060-00101,6/1/2001,CADE,25.4
0060-00101,6/1/2001,CADE,28.4
0060-00101,6/1/2001,CADE,34
0060-00101,6/1/2001,CADE,34.5
0060-00101,6/1/2001,CADE,34.8
0060-00101,6/1/2001,CADE,39.6
0060-00101,6/1/2001,CADE,41.4
0060-00101,6/1/2001,CADE,41.9
0060-00101,6/1/2001,CADE,52.6
0060-00101,6/1/2001,CADE,56.1
0060-00102,6/1/2001,ABCO,11.4
0060-00102,6/1/2001,ABCO,11.4
0060-00102,6/1/2001,ABCO,12.4
0060-00102,6/1/2001,ABCO,14.7
0060-00102,6/1/2001,ABCO,15
0060-00102,6/1/2001,CADE,15.7
0060-00102,6/1/2001,ABCO,16.3
0060-00102,6/1/2001,ABCO,16.3
0060-00102,6/1/2001,CADE,19.3
0060-00102,6/1/2001,ABCO,24.6
0060-00102,6/1/2001,ABCO,26.4
0060-00102,6/1/2001,QUKE,28.4
0060-00102,6/1/2001,ABCO,36.1
0060-00102,6/1/2001,CADE,37.1
0060-00102,6/1/2001,CADE,38.1
0060-00102,6/1/2001,CADE,42.7
0060-00102,6/1/2001,CADE,43.9
0060-00102,6/1/2001,CADE,44.7
0060-00102,6/1/2001,PILA,49.8
0060-00102,6/1/2001,QUKE,74.9
0060-00102,6/1/2001,QUKE,79.8
0060-00102,6/1/2001,PILA,82.3
0040-00002,6/1/2003,PSME,11.7
0040-00002,6/1/2003,ABCO,13.7
0040-00002,6/1/2003,ABCO,23.9
0040-00002,6/1/2003,CADE,28.7
0040-00002,6/1/2003,PSME,35.1
0040-00002,6/1/2003,PSME,35.3
0040-00002,6/1/2003,ABCO,36.8
0040-00002,6/1/2003,ABCO,41.4
0040-00002,6/1/2003,PSME,42.2
0040-00002,6/1/2003,ABCO,42.9
0040-00002,6/1/2003,ABCO,51.1
0040-00002,6/1/2003,ABCO,51.6
0040-00002,6/1/2003,CADE,59.4
0040-00002,6/1/2003,CADE,63
0040-00002,6/1/2003,PSME,65.5
0040-00003,6/1/2003,CADE,12.4
0040-00003,6/1/2003,ABCO,14.2
0040-00003,6/1/2003,PSME,14.5
0040-00003,6/1/2003,PSME,14.7
0040-00003,6/1/2003,PSME,15
0040-00003,6/1/2003,ABCO,16.5
0040-00003,6/1/2003,CADE,19.6
0040-00003,6/1/2003,PSME,21.3
0040-00003,6/1/2003,CADE,28.2
0040-00003,6/1/2003,ABCO,49.3
0040-00003,6/1/2003,PSME,59.4
0040-00003,6/1/2003,CADE,61.7
0040-00003,6/1/2003,ABCO,65.3
0040-00003,6/1/2003,PILA,75.4
0040-00003,6/1/2003,PIPO,83.6
0040-00005,6/1/2003,CADE,11.9
0040-00005,6/1/2003,CADE,12.7
0040-00005,6/1/2003,PSME,13.5
0040-00005,6/1/2003,PSME,15.5
0040-00005,6/1/2003,CADE,16.5
0040-00005,6/1/2003,CADE,16.5
0040-00005,6/1/2003,ABCO,17.8
0040-00005,6/1/2003,PSME,18.3
0040-00005,6/1/2003,ABCO,18.5
0040-00005,6/1/2003,CADE,18.8
0040-00005,6/1/2003,CADE,19.8
0040-00005,6/1/2003,ABCO,20.6
0040-00005,6/1/2003,ABCO,22.4
0040-00005,6/1/2003,ABCO,22.6
0040-00005,6/1/2003,CADE,24.6
0040-00005,6/1/2003,ABCO,33.8
0040-00005,6/1/2003,PSME,35.1
0040-00005,6/1/2003,CADE,36.6
0040-00005,6/1/2003,ABCO,40.6
0040-00005,6/1/2003,CADE,41.1
0040-00005,6/1/2003,ABCO,41.7
0040-00005,6/1/2003,CADE,41.9
0040-00005,6/1/2003,PSME,48.5
0040-00005,6/1/2003,CADE,48.5
0040-00005,6/1/2003,CADE,52.3
0040-00005,6/1/2003,CADE,55.6
0040-00005,6/1/2003,ABCO,70.1
0040-00005,6/1/2003,PIPO,82.6
0040-00007,6/1/2003,PSME,11.9
0040-00007,6/1/2003,ABCO,13
0040-00007,6/1/2003,ABCO,13
0040-00007,6/1/2003,QUKE,13.2
0040-00007,6/1/2003,QUKE,13.7
0040-00007,6/1/2003,ABCO,14.5
0040-00007,6/1/2003,QUKE,15.5
0040-00007,6/1/2003,QUKE,17.3
0040-00007,6/1/2003,ABCO,17.8
0040-00007,6/1/2003,ABCO,18.8
0040-00007,6/1/2003,ABCO,19.1
0040-00007,6/1/2003,PSME,20.3
0040-00007,6/1/2003,CADE,20.8
0040-00007,6/1/2003,ABCO,21.3
0040-00007,6/1/2003,PSME,22.1
0040-00007,6/1/2003,PSME,22.4
0040-00007,6/1/2003,PSME,25.4
0040-00007,6/1/2003,CADE,26.4
0040-00007,6/1/2003,CADE,27.4
0040-00007,6/1/2003,PSME,31
0040-00007,6/1/2003,PSME,32.8
0040-00007,6/1/2003,PILA,34.3
0040-00007,6/1/2003,ABCO,34.5
0040-00007,6/1/2003,ABCO,44.7
0040-00007,6/1/2003,PSME,49.5
0040-00007,6/1/2003,ABCO,77.7
0060-00021,6/1/2003,ABCO,11.9
0060-00021,6/1/2003,PIPO,13.2
0060-00021,6/1/2003,ABCO,13.5
0060-00021,6/1/2003,ABCO,14
0060-00021,6/1/2003,ABCO,16.3
0060-00021,6/1/2003,ABCO,18.3
0060-00021,6/1/2003,ABCO,21.3
0060-00021,6/1/2003,CADE,25.4
0060-00021,6/1/2003,PSME,34
0060-00021,6/1/2003,ABCO,41.1
0060-00021,6/1/2003,CADE,43.9
0060-00021,6/1/2003,ABCO,44.2
0060-00021,6/1/2003,CADE,44.5
0060-00021,6/1/2003,CADE,48
0060-00021,6/1/2003,PIPO,71.9
0060-00021,6/1/2003,QUKE,80.8
0060-00027,6/1/2003,CADE,17.8
0060-00027,6/1/2003,CADE,29.5
0060-00027,6/1/2003,CADE,43.2
0060-00027,6/1/2003,CADE,49.8
0060-00027,6/1/2003,CADE,52.1
0060-00027,6/1/2003,CADE,52.3
0060-00027,6/1/2003,CADE,55.6
0060-00101,6/1/2003,ABCO,11.4
0060-00101,6/1/2003,CADE,11.9
0060-00101,6/1/2003,CADE,15.5
0060-00101,6/1/2003,CADE,15.7
0060-00101,6/1/2003,ABCO,16.5
0060-00101,6/1/2003,PSME,17
0060-00101,6/1/2003,CADE,17
0060-00101,6/1/2003,ABCO,17.3
0060-00101,6/1/2003,ABCO,18.5
0060-00101,6/1/2003,ABCO,18.5
0060-00101,6/1/2003,CADE,18.5
0060-00101,6/1/2003,PSME,19.8
0060-00101,6/1/2003,CADE,21.1
0060-00101,6/1/2003,CADE,21.6
0060-00101,6/1/2003,CADE,23.1
0060-00101,6/1/2003,ABCO,23.4
0060-00101,6/1/2003,CADE,25.4
0060-00101,6/1/2003,CADE,25.7
0060-00101,6/1/2003,CADE,28.7
0060-00101,6/1/2003,CADE,34.3
0060-00101,6/1/2003,CADE,35.1
0060-00101,6/1/2003,CADE,35.3
0060-00101,6/1/2003,CADE,40.1
0060-00101,6/1/2003,CADE,41.9
0060-00101,6/1/2003,CADE,42.2
0060-00101,6/1/2003,CADE,53.6
0060-00101,6/1/2003,CADE,56.4
0060-00102,6/1/2003,ABCO,11.4
0060-00102,6/1/2003,ABCO,12.2
0060-00102,6/1/2003,ABCO,12.7
0060-00102,6/1/2003,ABCO,15.5
0060-00102,6/1/2003,CADE,15.7
